"";"genes"
"1007";"DQ597235"
"1008";"M37726"
"1009";"CR615613"
"1010";"DQ575788"
"1011";"AK310751"
"1012";"BC006361"
"1013";"AK091100"
"1014";"FAM41C"
"1015";"AK056486"
"1016";"ISG15"
"1017";"AGRN"
"1018";"BC033949"
"1019";"BC028014"
"1020";"DM119469"
"1021";"AK128833"
"1022";"B3GALT6"
"1023";"FAM132A"
"1024";"KIAA1716"
"1025";"GLTPD1"
"1026";"hCG_20425"
"1027";"ATAD3C"
"1028";"AX747755"
"1029";"AK094692"
"1030";"MMP23B"
"1031";"mifr-2"
"1032";"KIAA0447"
"1033";"AK097814"
"1034";"AK309762"
"1035";"CR606168"
"1036";"CALML6"
"1037";"AK054708"
"1038";"GABRD"
"1039";"AX747530"
"1040";"BC018779"
"1041";"SKI"
"1042";"LOC100129534"
"1043";"HES5"
"1044";"ACTRT2"
"1045";"DKFZp761G0122"
"1046";"DKFZp434N0450"
"1047";"CCDC27"
"1048";"LOC388588"
"1049";"LRRC47"
"1050";"AK124708"
"1051";"LOC284661"
"1052";"BC037321"
"1053";"AK125078"
"1054";"ICMT"
